iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
4 , 8.0 , 0.5 , 0.5 , 54 , 27 , 15 , 108 , 96 , 6 , 4.19 , 15.208 , 23.922 , 15.208 , 23.922 , 1.495 , 0.857 , 38.197 , 7.606667119630355 , 25.55 , 0.05 , 182.63004338758356
7 , 8.0 , 0.5 , 0.5 , 54 , 27 , 15 , 108 , 96 , 6 , 4.19 , 15.208 , 23.922 , 15.208 , 23.922 , 1.495 , 0.857 , 38.197 , 7.606667119630355 , 25.55 , 0.05 , 182.63004338758356
9 , 9.333333333333334 , 0.5 , 0.5 , 63 , 21 , 14 , 105 , 98 , 7 , 3.066 , 17.45 , 24.015 , 17.45 , 24.015 , 1.525 , 0.79 , 44.563 , 8.23828246836363 , 29.222 , 0.05 , 184.96586966277152
9 , 11.0 , 0.6 , 0.6 , 42 , 21 , 14 , 84 , 77 , 7 , 3.426 , 17.911 , 24.559 , 17.911 , 24.559 , 1.496 , 0.779 , 52.521 , 8.433295089001465 , 35.108 , 0.038 , 185.9698912886063
9 , 11.0 , 0.6 , 0.6 , 42 , 21 , 14 , 84 , 77 , 7 , 3.426 , 17.911 , 24.559 , 17.911 , 24.559 , 1.496 , 0.779 , 52.521 , 8.433295089001465 , 35.108 , 0.038 , 185.9698912886063
11 , 12.25 , 0.6 , 0.6 , 48 , 21 , 15 , 90 , 84 , 6 , 3.4 , 22.053 , 28.793 , 22.053 , 28.793 , 1.559 , 0.757 , 58.489 , 10.214948651179288 , 37.517 , 0.05 , 194.3464750465747
13 , 13.0 , 0.6 , 0.6 , 42 , 21 , 15 , 84 , 78 , 6 , 3.997 , 25.076 , 32.702 , 25.076 , 32.702 , 1.552 , 0.753 , 62.07 , 11.601985234272254 , 39.994 , 0.038 , 201.27716882820633
9 , 14.0 , 0.6 , 0.6 , 36 , 21 , 15 , 78 , 72 , 6 , 4.858 , 29.076 , 37.861 , 29.076 , 37.861 , 1.557 , 0.748 , 66.845 , 13.449629159852325 , 42.932 , 0.031 , 210.43768251770453
14 , 16.0 , 0.6 , 0.6 , 42 , 24 , 18 , 90 , 84 , 6 , 3.958 , 28.011 , 35.288 , 28.011 , 35.288 , 1.601 , 0.753 , 76.394 , 12.753981938797692 , 47.716 , 0.038 , 206.79923336359911
