Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
6984 , 731.3627697557038 , 2.9533906965506356 , 2160 , 0.5 , 47 , 130.3
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 50.160000000000004 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_BIG_MIN, MODULE_BIG_MAX, MODULE_SMALL_MIN, MODULE_SMALL_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_BIG_MIN, NUM_TEETH_PLANET_SMALL_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.5 , 1.2 , 0.5 , 1.2 , 3 , 7 , 14 , 14 , 14 , 3 , 15 , 1
 
iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 7.875 , 0.5 , 0.5 , 40 , 30 , 14 , 100 , 84 , 4 , 5.533 , 14.376 , 25.31 , 14.376 , 25.31 , 0.93 , 0.879 , 23.258 , 7.108990501824954 , 25.009 , 0.031 , 208.4858469639429
3 , 8.5 , 0.5 , 0.5 , 40 , 30 , 15 , 100 , 85 , 5 , 4.427 , 12.546 , 21.123 , 12.546 , 21.123 , 0.921 , 0.873 , 25.104 , 5.909151526815361 , 27.257 , 0.031 , 202.46950734494789
6 , 9.75 , 0.5 , 0.5 , 56 , 21 , 14 , 98 , 91 , 7 , 2.169 , 12.094 , 16.629 , 12.094 , 16.629 , 0.942 , 0.787 , 28.796 , 5.112755241457706 , 30.569 , 0.038 , 197.52296172845894
7 , 10.285714285714286 , 0.5 , 0.5 , 49 , 21 , 14 , 91 , 84 , 7 , 2.533 , 13.755 , 18.89 , 13.755 , 18.89 , 0.923 , 0.783 , 30.378 , 5.885378572076126 , 32.912 , 0.031 , 201.44539722845457
9 , 11.666666666666666 , 0.6 , 0.6 , 30 , 25 , 15 , 80 , 70 , 5 , 4.527 , 16.245 , 24.018 , 16.245 , 24.018 , 0.937 , 0.82 , 34.456 , 7.34904405495452 , 36.773 , 0.031 , 209.0623867461503
5 , 12.25 , 0.5 , 0.5 , 48 , 21 , 15 , 90 , 84 , 6 , 3.028 , 19.643 , 25.647 , 19.643 , 25.647 , 0.959 , 0.757 , 36.179 , 8.502878317411643 , 37.726 , 0.031 , 214.09005612395933
11 , 14.0 , 0.6 , 0.6 , 36 , 21 , 15 , 78 , 72 , 6 , 3.005 , 17.985 , 23.419 , 17.985 , 23.419 , 0.954 , 0.748 , 41.347 , 7.739877258447807 , 43.341 , 0.031 , 210.20475207280697
7 , 14.0 , 0.6 , 0.6 , 36 , 21 , 15 , 78 , 72 , 6 , 3.005 , 17.985 , 23.419 , 17.985 , 23.419 , 0.954 , 0.748 , 41.347 , 7.739877258447807 , 43.341 , 0.031 , 210.20475207280697
10 , 15.0 , 0.5 , 0.5 , 48 , 24 , 18 , 96 , 90 , 6 , 2.999 , 21.925 , 27.645 , 21.925 , 27.645 , 1.009 , 0.757 , 44.301 , 9.409114480144831 , 43.906 , 0.038 , 218.36951439385663
